Year,Location_ID,Company_ID,Usage_ID,Value,Scalar_ID,UOM_ID
2005,CN,RGRL,D,165529,3,203
2005,CN,RGRL,DF,147202,3,203
2005,CN,RGRL,DP,4724,3,203
2005,CN,RGRL,DYS,10651,3,203
2005,CN,RGRL,DWT,2953,3,203
2005,CN,RGRL,COST,98707509,0,81
2006,CN,ALL,D,2119082,3,203
2006,CN,ALL,DF,1979536,3,203
2006,CN,ALL,DP,62441,3,203
2006,CN,ALL,DYS,66694,3,203
2006,CN,ALL,DWT,10411,3,203
2006,CN,ALL,COST,1299571658,0,81
2006,CN,CNNL,D,1051395,3,203
2006,CN,CNNL,DF,1008573,3,203
2006,CN,CNNL,DP,344,3,203
2006,CN,CNNL,DYS,39052,3,203
2006,CN,CNNL,DWT,3426,3,203
2006,CN,CNNL,COST,633198093,0,81
2006,CN,CNPC,D,868931,3,203
2006,CN,CNPC,DF,848711,3,203
2006,CN,CNPC,DP,0,3,203
2006,CN,CNPC,DYS,16216,3,203
2006,CN,CNPC,DWT,4004,3,203
2006,CN,CNPC,COST,536126560,0,81
2006,CN,VIAR,D,58361,3,203
2006,CN,VIAR,DF,0,3,203
2006,CN,VIAR,DP,58148,3,203
2006,CN,VIAR,DYS,213,3,203
2006,CN,VIAR,DWT,0,3,203
2006,CN,VIAR,COST,37186421,0,81
2006,CN,RGRL,D,140396,3,203
2006,CN,RGRL,DF,122251,3,203
2006,CN,RGRL,DP,3949,3,203
2006,CN,RGRL,DYS,11214,3,203
2006,CN,RGRL,DWT,2981,3,203
2006,CN,RGRL,COST,93060584,0,81
2007,CN,ALL,D,2193684,3,203
2007,CN,ALL,DF,2058345,3,203
2007,CN,ALL,DP,62962,3,203
2007,CN,ALL,DYS,63425,3,203
2007,CN,ALL,DWT,8952,3,203
2007,CN,ALL,COST,1486001147,0,81
2007,CN,CNNL,D,1044591,3,203
2007,CN,CNNL,DF,1004256,3,203
2007,CN,CNNL,DP,427,3,203
2007,CN,CNNL,DYS,37787,3,203
2007,CN,CNNL,DWT,2121,3,203
2007,CN,CNNL,COST,731933193,0,81
2007,CN,CNPC,D,931407,3,203
2007,CN,CNPC,DF,912167,3,203
2007,CN,CNPC,DP,0,3,203
2007,CN,CNPC,DYS,15521,3,203
2007,CN,CNPC,DWT,3720,3,203
2007,CN,CNPC,COST,620873183,0,81
2007,CN,VIAR,D,58739,3,203
2007,CN,VIAR,DF,0,3,203
2007,CN,VIAR,DP,58518,3,203
2007,CN,VIAR,DYS,220,3,203
2007,CN,VIAR,DWT,0,3,203
2007,CN,VIAR,COST,37131069,0,81
2007,CN,RGRL,D,158947,3,203
