REF_DATE,GEO,DGUID,Companies,Diesel fuel consumption,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1992,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,4254
1992,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,290213000
1992,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,795398
1992,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,744770
1992,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1992,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,46432
1992,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,4196
1992,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,224245642
1992,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,56010
1992,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1992,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,56010
1992,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,0
1992,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1992,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,15567796
1992,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,146876
1992,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,127248
1992,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,5525
1992,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,10598
1992,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,3504
1992,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,43163337
1993,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,1906796
1993,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1711074
1993,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,67002
1993,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,118454
1993,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,10266
1993,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,578556585
